name,window,input_size,hidden_sizes,hidden_layer_count,architecture,epochs,epochs_ran,stopped_early,train_samples,val_samples,test_samples,best_epoch,best_val_accuracy,random_accuracy,repeat_accuracy,float_accuracy,quantized_accuracy,accuracy_drop,float_winrate,quantized_winrate,notes
w2_h4,2,12,4,1,12 -> 4 -> 3,100,23,True,129242,28113,28247,7,0.5552591327855441,0.3349028215385705,0.42602754274790244,0.5487308386731334,0.5487308386731334,0.0,0.5487308386731334,0.5487308386731334,one hidden layer
w2_h8,2,12,8,1,12 -> 8 -> 3,100,18,True,129242,28113,28247,13,0.5618397182797994,0.3349028215385705,0.42602754274790244,0.5515983998300704,0.5515983998300704,0.0,0.5515983998300704,0.5515983998300704,one hidden layer
w2_h16,2,12,16,1,12 -> 16 -> 3,100,28,True,129242,28113,28247,3,0.5552947035179454,0.3349028215385705,0.42602754274790244,0.5464297093496655,0.5481644068396644,-0.001734697489998882,0.5464297093496655,0.5481644068396644,one hidden layer
w3_h4,3,18,4,1,18 -> 4 -> 3,100,28,True,128562,27963,28097,25,0.5944641132925652,0.33583656618144286,0.426059721678471,0.5913442716304231,0.5905968608748265,0.0007474107555965892,0.5913442716304231,0.5905968608748265,one hidden layer
w3_h8,3,18,8,1,18 -> 8 -> 3,100,14,True,128562,27963,28097,12,0.6105210456674892,0.33583656618144286,0.426059721678471,0.6030181158130762,0.6026622059294586,0.0003559098836175556,0.6030181158130762,0.6026622059294586,one hidden layer
w3_h16,3,18,16,1,18 -> 16 -> 3,100,23,True,128562,27963,28097,7,0.6136680613668062,0.33583656618144286,0.426059721678471,0.6080364451720824,0.6073246254048474,0.0007118197672350002,0.6080364451720824,0.6073246254048474,one hidden layer
w4_h4,4,24,4,1,24 -> 4 -> 3,100,35,True,127882,27813,27947,11,0.5970589292776759,0.3374244104912871,0.42619959208501806,0.5926575303252585,0.5920850180699181,0.000572512255340385,0.5926575303252585,0.5920850180699181,one hidden layer
w4_h8,4,24,8,1,24 -> 8 -> 3,100,20,True,127882,27813,27947,12,0.6066587566965088,0.3374244104912871,0.42619959208501806,0.606827208644935,0.6057537481661717,0.0010734604787633328,0.606827208644935,0.6057537481661717,one hidden layer
w4_h16,4,24,16,1,24 -> 16 -> 3,100,24,True,127882,27813,27947,24,0.6168338546722756,0.3374244104912871,0.42619959208501806,0.6183847997996207,0.6178122875442802,0.000572512255340496,0.6183847997996207,0.6178122875442802,one hidden layer
w5_h4,5,30,4,1,30 -> 4 -> 3,100,18,True,127202,27663,27797,15,0.5904276470375592,0.33503615498075334,0.42630499694211604,0.5863582400978523,0.5868618915710329,-0.0005036514731805442,0.5863582400978523,0.5868618915710329,one hidden layer
w5_h8,5,30,8,1,30 -> 8 -> 3,100,27,True,127202,27663,27797,26,0.5994649893359361,0.33503615498075334,0.42630499694211604,0.5980501492966867,0.5951721408785121,0.002878008418174538,0.5980501492966867,0.5951721408785121,one hidden layer
w5_h16,5,30,16,1,30 -> 16 -> 3,100,29,True,127202,27663,27797,25,0.6096229620793118,0.33503615498075334,0.42630499694211604,0.6138432204914199,0.6134115192286937,0.0004317012627261807,0.6138432204914199,0.6134115192286937,one hidden layer
w6_h4,6,36,4,1,36 -> 4 -> 3,100,20,True,126522,27513,27647,9,0.6070584814451351,0.3352624154519478,0.4262306941078598,0.6036459652041812,0.6027055376713567,0.0009404275328245282,0.6036459652041812,0.6027055376713567,one hidden layer
w6_h8,6,36,8,1,36 -> 8 -> 3,100,45,True,126522,27513,27647,44,0.6176352996765165,0.3352624154519478,0.4262306941078598,0.6142438600933193,0.6137736463269071,0.0004702137664122086,0.6142438600933193,0.6137736463269071,one hidden layer
w6_h16,6,36,16,1,36 -> 16 -> 3,100,35,True,126522,27513,27647,35,0.6251226692836114,0.3352624154519478,0.4262306941078598,0.6260353745433501,0.6266864397583825,-0.0006510652150323315,0.6260353745433501,0.6266864397583825,one hidden layer
w8_h32_16,8,48,"32,16",2,48 -> 32 -> 16 -> 3,100,23,True,125162,27213,27347,18,0.6337412266196303,0.33491790690020845,0.42640874684608915,0.6341097743811022,0.6342560427103522,-0.0001462683292500211,0.6341097743811022,0.6342560427103522,two hidden layers
