name,architecture,int8_weight_bytes,int8_bias_bytes,raw_model_bytes,stored_array_bytes,npz_file_bytes,quantized_accuracy,quantized_accuracy_percent,epochs_ran
w8_h32_16,48 -> 32 -> 16 -> 3,2096,51,2147,2155,3293,0.6342560427103522,63.43,23
w6_h16,36 -> 16 -> 3,624,19,643,651,1735,0.6266864397583825,62.67,35
w4_h16,24 -> 16 -> 3,432,19,451,459,1595,0.6178122875442802,61.78,24
w6_h8,36 -> 8 -> 3,312,11,323,331,1473,0.6137736463269071,61.38,45
w5_h16,30 -> 16 -> 3,528,19,547,555,1668,0.6134115192286937,61.34,29
w3_h16,18 -> 16 -> 3,336,19,355,363,1514,0.6073246254048474,60.73,23
w4_h8,24 -> 8 -> 3,216,11,227,235,1392,0.6057537481661717,60.58,20
w6_h4,36 -> 4 -> 3,156,7,163,171,1325,0.6027055376713567,60.27,20
w3_h8,18 -> 8 -> 3,168,11,179,187,1343,0.6026622059294586,60.27,14
w5_h8,30 -> 8 -> 3,264,11,275,283,1433,0.5951721408785121,59.52,27
w4_h4,24 -> 4 -> 3,108,7,115,123,1275,0.5920850180699181,59.21,35
w3_h4,18 -> 4 -> 3,84,7,91,99,1250,0.5905968608748265,59.06,28
w5_h4,30 -> 4 -> 3,132,7,139,147,1299,0.5868618915710329,58.69,18
w2_h8,12 -> 8 -> 3,120,11,131,139,1295,0.5515983998300704,55.16,18
w2_h4,12 -> 4 -> 3,60,7,67,75,1227,0.5487308386731334,54.87,23
w2_h16,12 -> 16 -> 3,240,19,259,267,1433,0.5481644068396644,54.82,28
